"Título","Coordenador","Área","Tipo","Formação","Carreira","Processo SEI","Ano"
"MECANISMOS DE SUPRESSÃO DO CARBAMATO DE ETILA DURANTE A PRODUÇÃO E ARMAZENAMENTO DA CACHAÇA DE ALAMBIQUE","Alexandre Santos de Souza","Ciências Agrárias","Inovação","Doutorado","Docente","23396.000713/2025-39",2025
"PRODUÇÃO DE PASTAGENS EM SISTEMA SILVIPASTORIL COM DIFERENTES ESPÉCIES LEGUMINOSAS","Susi Cristina dos Santos Guimarães Martins","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","TAE","23396.000668/2025-12",2025
"INFLUÊNCIA DA LUMINOSIDADE E DO RECIPIENTE NA PRODUÇÃO DE MUDAS DE Astronium fraxinifolium Schott","Marília Dutra Massad","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.001809/2025-14",2025
"UTILIZAÇÃO DO RESÍDUO DO URUCUM NA PRODUÇÃO DE MUDAS DE Magonia pubescens A. St.-Hil. SOB DIFERENTES NÍVEIS DE SOMBREAMENTO","Marília Dutra Massad","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.001840/2025-55",2025
"QUALIDADE DE MUDAS DE Delonix regia SOB DIFERENTES VOLUMES DE RECIPIENTES E ADUBOS DE LIBERAÇÃO LENTA","Marília Dutra Massad","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.001832/2025-17",2025
"PRODUÇÃO DE MUDAS DE Moringa oleífera Lamarck SOB DIFERENTES VOLUMES DE TUBETES E DOSES DE OSMOCOTE®","Marília Dutra Massad","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.001996/2025-36",2025
"Fatores de risco associados à produção de queijo artesanal Queijo Cozido em cidades do Vale do Jequitinhonha e Norte de Minas Gerais","THIAGO MOREIRA DOS SANTOS","Ciências Agrárias","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.004480/2023-81",2024
"PRODUÇÃO DE CERVEJA ARTESANAL COM A INTRODUÇÃO DAS CASTANHAS DE BARU (Dipteryx alata)","Marcos de Oliveira","Ciências Biológicas","Inovação","Doutorado","Docente","23396.004588/2023-74",2024
"Levantamento da Fauna Culicidae do IFNMG campus Salinas e o risco de transmissão de arboviroses.","Filipe Vieira Santos de Abreu","Ciências Biológicas","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.001242/2024-03",2024
"Como os mosquitos vetores de doenças e as pragas agrícolas se espalham tão rapidamente por todas as regiões do Brasil, causando problemas econômicos e de saúde?","Filipe Vieira Santos de Abreu","Ciências Biológicas","Desenvolvimento Científico/Tecnológico","Doutorado","Docente","23396.001967/2024-93",2024
"PRODUÇÃO DE HIDROMEL UTILIZANDO LEVEDURAS SELECIONADAS DE DORNAS DE CACHAÇA DE ALAMBIQUE","Marcos de Oliveira","Ciências Biológicas","Inovação","Doutorado","Docente","23396.002012/2024-53",2024
